Measured on 14:05:11 29/11/2024
Operated by: 	 Ennio, Kristof 
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-150.000
Comments: 	 2 retarding grids, suppr no grid small diameter

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	25.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	1.906E-10
2.500E-2	1.902E-10
5.000E-2	1.903E-10
7.500E-2	1.896E-10
1.000E-1	1.901E-10
1.250E-1	1.896E-10
1.500E-1	1.896E-10
1.750E-1	1.896E-10
2.000E-1	1.900E-10
2.250E-1	1.898E-10
2.500E-1	1.897E-10
2.750E-1	1.905E-10
3.000E-1	1.896E-10
3.250E-1	1.897E-10
3.500E-1	1.896E-10
3.750E-1	1.895E-10
4.000E-1	1.891E-10
4.250E-1	1.886E-10
4.500E-1	1.888E-10
4.750E-1	1.889E-10
5.000E-1	1.885E-10
5.250E-1	1.884E-10
5.500E-1	1.887E-10
5.750E-1	1.885E-10
6.000E-1	1.879E-10
6.250E-1	1.879E-10
6.500E-1	1.876E-10
6.750E-1	1.875E-10
7.000E-1	1.870E-10
7.250E-1	1.868E-10
7.500E-1	1.865E-10
7.750E-1	1.858E-10
8.000E-1	1.853E-10
8.250E-1	1.852E-10
8.500E-1	1.850E-10
8.750E-1	1.845E-10
9.000E-1	1.841E-10
9.250E-1	1.838E-10
9.500E-1	1.833E-10
9.750E-1	1.828E-10
1.000E+0	1.825E-10
1.025E+0	1.818E-10
1.050E+0	1.815E-10
1.075E+0	1.810E-10
1.100E+0	1.807E-10
1.125E+0	1.799E-10
1.150E+0	1.791E-10
1.175E+0	1.789E-10
1.200E+0	1.782E-10
1.225E+0	1.772E-10
1.250E+0	1.759E-10
1.275E+0	1.751E-10
1.300E+0	1.743E-10
1.325E+0	1.735E-10
1.350E+0	1.723E-10
1.375E+0	1.711E-10
1.400E+0	1.700E-10
1.425E+0	1.681E-10
1.450E+0	1.665E-10
1.475E+0	1.651E-10
1.500E+0	1.639E-10
1.525E+0	1.629E-10
1.550E+0	1.628E-10
1.575E+0	1.626E-10
1.600E+0	1.631E-10
1.625E+0	1.638E-10
1.650E+0	1.667E-10
1.675E+0	1.704E-10
1.700E+0	1.753E-10
1.725E+0	1.800E-10
1.750E+0	1.859E-10
1.775E+0	1.921E-10
1.800E+0	1.993E-10
1.825E+0	2.060E-10
1.850E+0	2.109E-10
1.875E+0	2.146E-10
1.900E+0	2.175E-10
1.925E+0	2.162E-10
1.950E+0	2.038E-10
1.975E+0	1.853E-10
2.000E+0	1.580E-10
2.025E+0	6.954E-11
2.050E+0	-5.882E-12
2.075E+0	-6.298E-12
2.100E+0	-6.202E-12
2.125E+0	-6.548E-12
2.150E+0	-6.855E-12
2.175E+0	-7.118E-12
2.200E+0	-7.360E-12
